start,today,deviceid,simserial,subscriberid,"Welcome to the OCA Bamako Project. In this project, you will collect data about identified features and their respective attributes across Bamako District.",Name of data collector,City,Commune,Name of quartier,Name of sector,Name of sector,Geopoint of health facility,_Geopoint of health facility_latitude,_Geopoint of health facility_longitude,_Geopoint of health facility_altitude,_Geopoint of health facility_precision,Nature of the facility,Type of the facility,What is the nature of the heath facility,What is the scope of services provided by health facility?,What is the ancillary services provided by health facility?,What is the type of the services provided by the facility?,Number of beds in the health facility,"Average number of patients per day, disaggregated (total)","Average number of patients per day, disaggregated (male)","Average number of patients per day, disaggregated (female)",Does this medical facility offer emergency services?,Does this facility offer dispensing prescription medication? (in pharmacy),Opening days and times,Opening days and times/Mo-Fri 07:30-13:30,Opening days and times/Mo-Sa 07:30-15:00,Opening days and times/Mo-Fri 08:00-17:00,Opening days and times/Mo-Fri 09:00-17:00,Opening days and times/Mo-Su 07:00-20:00,Opening days and times/Mo-Fri 07:00-13:30,Opening days and times/24/7,Opening days and times/Other,What type of operator is this?,What is the name of the operator?,What is the health care specialty of this facility,What is the number of doctors?,What is the number of nurses?,Phone number of health facility,Does the facility have toilets?,Type of facility,Is the facility usable,Is the facility separated boys/girls,Is the facility equiped for menstrual hygiene management,Is facility separated for staff and non staff?,Is  the facility meet needs for limited mobility?,Is there existance of handwashing at the facility?,"If yes, How many","Does the facility has Station with basin, soap and water / OR with alcohol-based hand rub",Is the station within 5 meters of toilets,Is there existance of a water point?,Is the facility improved?,Is water located on school premises?,"WASH package management, O&M and financing",Is there a dedicated person for maintenance/cleaning facilities,Frequency of cleaning,Latrine Emptying,You are now at end of this form. Thank you for filling it out. Swipe to the next page/screen and save form.,_id,_uuid,_submission_time,_validation_status,_index
2021-02-09T12:09:41.283Z,2021-02-09,358005081402445,,,,Oumar haidara,Bamako,Commune II,Médina Coura,,Secteur 4,12.654255000000001 -7.985698333333333 322.7 7.5,12.654255000000001,-7.985698333333333,322.7,7.5,Pharmacie,Pharmacy,,Hospice care,,,,102,,,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Parapharmacie,,1,2,20210974,Yes,Improved,Yes,No,,yes,Yes,Existence of handwashing post/station(s):,1,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Manual Emptier,,288,5e646f91-385c-4023-a0c0-144ef00e7e2d,2021-02-09T12:18:28,,1
2021-02-09T09:39:58.071Z,2021-02-09,collect:KvfuVGFOmCFXRwJk,,,,Fatoumata Kayentao ,Bamako,Commune IV,Djikoroni-Para,,Tintinkoumba,12.6240833 -8.0220267 325.7 3.483,12.6240833,-8.0220267,325.7,3.483,Pharmacie ,Pharmacy,,,,Medicine,,,,,,Yes,Mo-Sa 07:30-15:00,0,1,0,0,0,0,0,0,Private,,,1,,20223251,Yes,Improved,Yes,No,Facility is equipped for menstrual hygiene management,yes,,Existence of handwashing post/station(s):,2,Facility with water and soap,yes,Water point exists,,,Existence of Management Committee including WASH issues,Yes,Once a day,Other,,338,aefe6c6f-a2dc-4f3d-aac4-fc44305b3ba5,2021-02-09T16:19:33,,2
2021-02-09T10:17:20.461Z,2021-02-09,collect:37iYIf9mujLgP7FW,,,,ALOU SOW,Bamako,Commune IV,Djikoroni-Para,,ACI2000,12.6268 -8.020995 356.9599938964844 3.75,12.6268,-8.020995,356.9599938964844,3.75,CLINIQUE,Clinic,,Specialized,Laboratory,Martenal care,8,7,5,2,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Source de Vie,,2,3,20225807,Yes,Improved,Yes,,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,4,Facility with water and soap,yes,Water point exists,,,Existence of Management Committee including WASH issues,Yes,Once a day,,,377,41eaba28-01e1-4f7d-b656-d5f224aa8f18,2021-02-09T16:51:05,,3
2021-02-09T12:06:08.528Z,2021-02-09,collect:37iYIf9mujLgP7FW,,,,ALOU SOW,Bamako,Commune IV,Djikoroni-Para,,Motel,12.6277945 -8.0153144 356.76001220703125 3.9,12.6277945,-8.0153144,356.76001220703125,3.9,PHARMACIE,Pharmacy,,,,Medicine,,,,,,Yes,Other,0,0,0,0,0,0,0,1,Private,YELI BATHILY,,1,,20725153,Yes,Improved,Yes,,,,Yes,Existence of handwashing post/station(s):,1,Facility with water and soap,yes,Water point exists,,,,Yes,Once a day,,,380,4aae31b1-c17d-4522-a28a-33a0060d2cef,2021-02-09T16:51:26,,4
2021-02-10T09:49:11.319Z,2021-02-10,358005081402445,,,,Oumar haidara,Bamako,Commune II,Hippodrome,,Pharmacie du salut,12.664401666666667 -7.978163333333333 356.5 7.5,12.664401666666667,-7.978163333333333,356.5,7.5,Pharmacie,Pharmacy,,,,Medicine,,,,,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Communauté,Community,,,98997711,Yes,Improved,Yes,No,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,1,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,,,679,31ccc6d4-d268-4d6a-8332-035ac2988025,2021-02-10T10:38:42,,5
2021-02-10T10:15:34.526Z,2021-02-10,358005081402445,,,,Oumar haidara ,Bamako,Commune II,Hippodrome,,,12.664848333333335 -7.974231666666666 362.1 7.5,12.664848333333335,-7.974231666666666,362.1,7.5,Clinique salia daou,Clinic,Clinic bed,General acute care,Emergency,Social care,5,23,10,13,No,Yes,24/7,0,0,0,0,0,0,1,0,Private,Communauté ,Community,2,4,20213043,Yes,Improved,Yes,No,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,2,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,,,680,20334378-d400-4e50-ae46-d61bea27106e,2021-02-10T10:38:43,,6
2021-02-10T10:39:17.487Z,2021-02-10,358005081402445,,,,Oumar haidara,Bamako,Commune II,Hippodrome,,,12.664813333333333 -7.96697 261.7 7.5,12.664813333333333,-7.96697,261.7,7.5,Centre medicale de reeducation et readaptation fonctionnelle,Clinic,Clinic bed,Specialized,Emergency,Social care,11,36,12,24,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Communauté,Community,5,8,20211523,Yes,Improved,Yes,Yes,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,2,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,,,693,76a62038-da82-4215-b531-b05406a8ca29,2021-02-10T11:33:00,,7
2021-02-10T10:50:10.305Z,2021-02-10,358005081402445,,,,Oumar haidara,Bamako,Commune II,Hippodrome,,,12.664314999999998 -7.968735 321.9 7.5,12.664314999999998,-7.968735,321.9,7.5,ASACOH,Community health center,Tertiary hospital,General acute care,Emergency,Social care,16,53,20,30,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Community,Communauté,Community,5,11,20211326,Yes,Improved,Yes,No,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,3,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,,,694,f82ba3cd-1db5-4fc6-b9bd-eb9c385e69e3,2021-02-10T11:33:01,,8
2021-02-10T10:59:12.432Z,2021-02-10,358005081402445,,,,Oumar haidara,Bamako,Commune II,Hippodrome,,,12.662813333333334 -7.973484999999999 328.6 7.5,12.662813333333334,-7.973484999999999,328.6,7.5,Pharmacie tana ,Pharmacy,,,,Medicine,,,,,No,Yes,24/7,0,0,0,0,0,0,1,0,Private,Communauté,Community,,,66720942,Yes,Improved,Yes,Yes,Facility is not equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,1,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,,,695,3259d4b1-fe31-4dbb-800b-45d0ae5620f3,2021-02-10T11:33:01,,9
2021-02-10T11:43:26.311Z,2021-02-10,358005081402445,,,,Oumar haidara,Bamako,Commune II,Hippodrome,,,12.657248333333333 -7.971106666666667 312.6 7.5,12.657248333333333,-7.971106666666667,312.6,7.5,,Community health center,Second referral_hospital,All,Laboratory,Social care,,,,,,Yes,Mo-Fri 07:30-13:30,1,0,0,0,0,0,0,0,Governement,Communauté,Community,,,,Yes,Improved,Yes,No,,yes,Yes,Existence of handwashing post/station(s):,5,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,,,714,d5823bad-f71f-49ff-8d6a-6f89ce28cd13,2021-02-10T13:06:42,,10
2021-02-10T12:05:36.008Z,2021-02-10,358005081402445,,,,Oumar haidara,Bamako,Commune II,Hippodrome,,Laboratoire,12.657596666666667 -7.968273333333333 344.7 7.4,12.657596666666667,-7.968273333333333,344.7,7.4,Laboratoire d'analyses medicales,Clinic,Clinic no beds,Specialized,Laboratory,Social care,,,,,No,,Mo-Fri 07:30-13:30,1,0,0,0,0,0,0,0,Private,Communauté,Community,,,,Yes,Improved,Yes,No,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,1,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,,,717,06ab7eda-498b-449e-b6bf-f5e45323dfb2,2021-02-10T13:06:44,,11
2021-02-10T12:24:42.983Z,2021-02-10,358005081402445,,,,Oumar haidara,Bamako,Commune II,Hippodrome,,Pharmacie kanu,12.662045 -7.967645000000001 329.9 7.5,12.662045,-7.967645000000001,329.9,7.5,Pharmacie,Pharmacy,,All,Emergency,Medicine,,,,,,Yes,24/7,0,0,0,0,0,0,1,0,Private,Communauté,Community,,,,Yes,Improved,Yes,Yes,Facility is not equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,1,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,,,719,c1b2e13f-d007-4dec-a4c6-481c80a1a4c7,2021-02-10T13:06:45,,12
2021-02-10T12:40:58.372Z,2021-02-10,358005081402445,,,,Oumar haidara,Bamako,Commune II,Hippodrome,,Pharmacie ,12.654985 -7.976128333333333 332.3 7.5,12.654985,-7.976128333333333,332.3,7.5,Pharmacie,Pharmacy,,,,Medicine,,,,,,Yes,24/7,0,0,0,0,0,0,1,0,Private,Communauté,Community,,,,Yes,Improved,Yes,Yes,,yes,Yes,Existence of handwashing post/station(s):,1,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,,,721,b230274d-d08d-4401-8d0b-9179683b6865,2021-02-10T13:06:47,,13
2021-02-10T15:41:09.745Z,2021-02-10,358005081307784,89223013090617727761,610010101772776,,Ali badara  Koné,Bamako,Commune III,Ouolofobougou Bolibana,,Secteur 4,12.644823333333333 -8.012938333333333 331.8 3.1,12.644823333333333,-8.012938333333333,331.8,3.1,Clinic,Clinic,Clinic bed,Specialized,Operating theater,Martenal care,8,10,2,8,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Clinic Grâce,General,2,4,20225253,Yes,Improved,Yes,,Facility is equipped for menstrual hygiene management,no,Yes,Existence of handwashing post/station(s):,2,Facility with water and soap,,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Other,,781,c94642a5-b5c7-468c-abcf-7cf4c5aaebd1,2021-02-10T16:18:39,,14
2021-02-10T09:09:09.110Z,2021-02-10,collect:KvfuVGFOmCFXRwJk,,,,Fatoumata Kayentao,Bamako,Commune IV,Djikoroni-Para,,Mariambougou,12.6210033 -8.0260217 326.5 4.34,12.6210033,-8.0260217,326.5,4.34,Pharmacie Telakura,Pharmacy,,,,Medicine,,,,,,Yes,Mo-Sa 07:30-15:00 Other,0,1,0,0,0,0,0,1,Private,,,1,,69555466,Yes,Improved,Yes,No,Facility is equipped for menstrual hygiene management,yes,No,Existence of handwashing post/station(s):,1,Facility with water and soap,yes,Water point exists,,Water located near healthcre premises,,Yes,Once a day,Other,,782,e3677aa1-1969-423b-8c07-1516ade8ec6c,2021-02-10T16:18:40,,15
2021-02-10T10:02:26.230Z,2021-02-10,collect:KvfuVGFOmCFXRwJk,,,,Fatoumata Kayentao,Bamako,Commune IV,Djikoroni-Para,,Djénèkabougou,12.6188367 -8.0304717 332.2 4.8,12.6188367,-8.0304717,332.2,4.8,Asaco Djénèka,Community health center,First referral hospital,All,Laboratory,Martenal care,13,20,8,12,No,Yes,24/7 Other,0,0,0,0,0,0,1,1,Community,Communauté ,Community,2,9,,Yes,Improved,Yes,Yes,Facility is equipped for menstrual hygiene management,yes,No,Existence of handwashing post/station(s):,17,Facility with water and soap,yes,Water point exists,,,,Yes,Once a day,,,786,a30b8b4d-81c5-4d1f-934d-4716d2b9e465,2021-02-10T16:18:42,,16
2021-02-10T10:28:43.780Z,2021-02-10,collect:KvfuVGFOmCFXRwJk,,,,Fatoumata Kayentao ,Bamako,Commune IV,Djikoroni-Para,,ACI 2000,12.62181 -8.027505 346.1 4.88,12.62181,-8.027505,346.1,4.88,"Centre pour le développement des vaccins, Mali ( CVD)",,,Specialized,Laboratory,,,,,,,No,Mo-Sa 07:30-15:00 Other,0,1,0,0,0,0,0,1,Governement,Gouvernement ,,,,22236031,Yes,Improved,Yes,No,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,4,Facility with water and soap,yes,Water point exists,,,,Yes,Once a day,,,787,6fda1601-6a0d-4749-8644-1e662ac329ff,2021-02-10T16:18:43,,17
2021-02-10T11:06:48.220Z,2021-02-10,collect:KvfuVGFOmCFXRwJk,,,,Fatoumata Kayentao,Bamako,Commune IV,Djikoroni-Para,,Bougouba,12.6184233 -8.033345 330.6 3.02,12.6184233,-8.033345,330.6,3.02,Pharmacopée,Traditional,,,,Medicine,,,,,No,No,24/7,0,0,0,0,0,0,1,0,Private,Privé,Traditional,,,76355506,No,,,,,,,,,,,,,,,,,,,788,e88566d8-aebc-4912-bc79-22e711e3915c,2021-02-10T16:18:43,,18
2021-02-10T11:14:44.993Z,2021-02-10,collect:KvfuVGFOmCFXRwJk,,,,Fatoumata Kayentao,Bamako,Commune IV,Djikoroni-Para,,Usineda,12.6175083 -8.0333983 335.7 4.383,12.6175083,-8.0333983,335.7,4.383,Cabinet Sage-femme NIANA,Clinic,Clinic bed,Specialized,Imaging equipment,Martenal care,3,10,,10,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Privé,Women,1,4,79047514,Yes,Improved,Yes,No,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,3,Facility with water and soap,yes,Water point exists,,Water located near healthcre premises,,Yes,Once a day,,,789,946a0336-2bd1-40d1-a52c-58585f78e770,2021-02-10T16:18:44,,19
2021-02-10T11:40:19.202Z,2021-02-10,collect:KvfuVGFOmCFXRwJk,,,,Fatoumata Kayentao,Bamako,Commune IV,Djikoroni-Para,,Dontèmè2,12.6117967 -8.0350441 328.7 8.5,12.6117967,-8.0350441,328.7,8.5,Centre Médicale DiretAID ( El-Razi),Clinic,Clinic bed,All,Laboratory,Martenal care,13,15,4,11,Yes,Yes,24/7 Other,0,0,0,0,0,0,1,1,Ngo,ONG,Community,2,5,76482352,Yes,Improved,Yes,Yes,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,2,Facility with water and soap,yes,Water point exists,,,,Yes,Once a day,,,790,05215f2d-5677-408b-8f5d-6b511ead76eb,2021-02-10T16:18:44,,20
